"Latitude (decimal degrees):	-6.177"
"Longitude (decimal degrees):	106.825"
"Elevation (m):	4"
"Radiation database:	PVGIS-SARAH"


Slope: 90 deg. (optimum)
Azimuth: -180 deg. (optimum)
"Nominal power of the PV system (c-Si) (kWp):	1.0"
"System losses (%):	14.0"
time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0042,18.23,37.0,26.53,26.21,3.46,0.0
20150101:0142,73.88,110.0,40.19,26.64,3.7,0.0
20150101:0242,283.14,371.0,53.41,27.06,3.94,0.0
20150101:0342,353.96,462.0,65.31,27.42,4.38,0.0
20150101:0442,316.77,414.0,72.78,27.78,4.82,0.0
20150101:0542,350.13,457.0,69.98,28.14,5.26,0.0
20150101:0642,276.69,363.0,59.64,27.85,4.89,0.0
20150101:0742,40.05,67.0,46.9,27.56,4.53,0.0
20150101:0842,63.39,97.0,33.4,27.28,4.17,0.0
20150101:0942,76.3,113.0,19.65,26.57,3.71,0.0
20150101:1042,15.5,33.0,5.86,25.86,3.26,0.0
20150101:1142,0.0,0.0,0.0,25.15,2.8,0.0
20150101:1242,0.0,0.0,0.0,25.07,3.02,0.0
20150101:1342,0.0,0.0,0.0,24.99,3.24,0.0
20150101:1442,0.0,0.0,0.0,24.91,3.46,0.0
20150101:1542,0.0,0.0,0.0,24.77,3.37,0.0
20150101:1642,0.0,0.0,0.0,24.63,3.27,0.0
20150101:1742,0.0,0.0,0.0,24.49,3.17,0.0
20150101:1842,0.0,0.0,0.0,24.45,3.09,0.0
20150101:1942,0.0,0.0,0.0,24.41,3.02,0.0
20150101:2042,0.0,0.0,0.0,24.37,2.94,0.0
20150101:2142,0.0,0.0,0.0,24.54,2.91,0.0
20150101:2242,0.0,0.0,0.0,24.72,2.89,0.0
20150101:2342,12.88,29.0,12.63,24.89,2.87,0.0
20150102:0042,45.05,73.0,26.44,25.51,2.98,0.0
20150102:0142,227.21,300.0,40.11,26.12,3.09,0.0
20150102:0242,311.51,408.0,53.34,26.74,3.2,0.0
20150102:0342,348.54,455.0,65.28,26.7,3.62,0.0
20150102:0442,319.87,417.0,72.84,26.66,4.05,0.0
20150102:0542,332.2,432.0,70.11,26.63,4.47,0.0
20150102:0642,229.44,302.0,59.77,26.44,4.37,0.0
